product_area,count,avg_sentiment,negative_count,dominant_call_type,example_transcript_ids
Comply / Audit Reporting,38,0.53,3,external,"01KQ0DFE299AC7A74E8022CA, 01KQ0F8AFF3DA34FD4580008, 01KQ1267C6AA7D9B3125FEC8, 01KQ1DCC80852AE384C898C9"
Detect / Threat Monitoring,34,-0.151,21,internal,"01KQ03B0303900521BB089CA, 01KQ0CAE7F064EC93F0540CA, 01KQ2217B066855A3B7814CB, 01KQ2331EFD78BF3B1CAB747"
Identity / Access,13,0.123,6,support,"01KQ31ED026F745FE2A55CCD, 01KQ3F90FF9EBC3DB3632514, 01KQ4D504CE09A8F6ECA1F5A, 01KQ5A966832A146DA4B7D41"
Protect / Backup Recovery,10,0.295,3,support,"01KQ1A6B7E81B06F4A13B60D, 01KQ25D8AED944B5D2A9FF60, 01KQ3C837D7EF689408DCF95, 01KQ560FF1570C5E7F71D752"
Commercial / Billing,5,0.25,1,support,"01KQ0C1280EDA4E70AAD7C35, 01KQ1DC6CA536DE1B31ED8F5, 01KQ56AA6B60801ABC01AB1C, 01KQ773D68723289E4A98889"
